05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일ID,정류소ID,정류소명,조회일자,합계,행정구역
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,승차,01430,7041044700,㈜윔스건너,2019-01-01,2,대구광역시 달서구 월성2동
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,하차,01430,7041044700,㈜윔스건너,2019-01-01,1,대구광역시 달서구 월성2동
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,하차,01437,7041044800,㈜윔스앞,2019-01-01,2,대구광역시 달서구 월성2동
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,하차,03077,7181004500,가좌삼거리,2019-01-01,1,경상북도 칠곡군 
0,0,1,1,2,1,8,2,2,4,1,3,1,0,2,2,1,1,1,승차,02243,7111000400,가창농협건너,2019-01-01,33,대구광역시 달성군 가창면
1,0,2,5,7,3,0,3,1,4,6,3,1,1,2,4,2,2,0,하차,02243,7111000400,가창농협건너,2019-01-01,47,대구광역시 달성군 가창면
2,2,6,5,9,13,27,16,16,7,12,7,14,10,5,2,4,1,0,승차,09097,7111000500,가창농협앞,2019-01-01,158,대구광역시 달성군 가창면
0,0,1,0,1,3,0,1,0,1,0,1,0,2,0,0,0,0,0,하차,09097,7111000500,가창농협앞,2019-01-01,10,대구광역시 달성군 가창면
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,승차,02737,7111060300,가창댐1,2019-01-01,1,대구광역시 달성군 가창면
0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,하차,02737,7111060300,가창댐1,2019-01-01,3,대구광역시 달성군 가창면
1,1,0,9,7,2,3,2,3,0,6,2,1,1,8,3,6,1,0,승차,05287,7111000600,가창면사무소건너,2019-01-01,56,대구광역시 달성군 가창면
0,0,0,0,0,0,0,4,3,1,0,1,2,1,4,2,2,1,0,하차,05287,7111000600,가창면사무소건너,2019-01-01,21,대구광역시 달성군 가창면
1,1,1,4,1,5,7,13,13,8,11,9,13,11,9,2,7,2,0,승차,02995,7111000700,가창면사무소앞,2019-01-01,118,대구광역시 달성군 가창면
